Time,Temp_F,DewPoint_F,Humidity,Wind,WindSpeed_mph,WindGust_mph,Pressure_in,Precip_in,Condition
12:00 AM,81,79,94,VAR,2,0,29.81,0.0,Mostly Cloudy
12:30 AM,81,79,94,NE,3,0,29.81,0.0,Mostly Cloudy
1:00 AM,81,79,94,VAR,2,0,29.81,0.0,Mostly Cloudy
1:30 AM,81,79,94,VAR,2,0,29.78,0.0,Mostly Cloudy
2:00 AM,81,79,94,VAR,2,0,29.78,0.0,Mostly Cloudy
2:30 AM,81,79,94,VAR,2,0,29.78,0.0,Mostly Cloudy
3:00 AM,81,79,94,VAR,2,0,29.78,0.0,Mostly Cloudy
3:30 AM,81,79,94,NNW,2,0,29.75,0.0,Mostly Cloudy
4:00 AM,81,79,94,W,1,0,29.75,0.0,Mostly Cloudy
4:30 AM,81,79,94,N,2,0,29.75,0.0,Mostly Cloudy
5:00 AM,81,79,94,NNW,2,0,29.75,0.0,Mostly Cloudy
5:30 AM,81,79,94,VAR,1,0,29.75,0.0,Mostly Cloudy
6:00 AM,81,79,94,WNW,2,0,29.75,0.0,Mostly Cloudy
6:30 AM,81,79,94,NNW,2,0,29.75,0.0,Mostly Cloudy
7:00 AM,81,79,94,NW,3,0,29.78,0.0,Mostly Cloudy
7:30 AM,81,81,100,VAR,2,0,29.78,0.0,Mostly Cloudy
8:00 AM,82,81,94,VAR,2,0,29.78,0.0,Mostly Cloudy
8:30 AM,84,79,84,VAR,2,0,29.81,0.0,Mostly Cloudy
9:00 AM,86,79,79,N,3,0,29.81,0.0,Mostly Cloudy
9:30 AM,86,79,79,N,3,0,29.81,0.0,Mostly Cloudy
10:00 AM,88,79,75,NNE,6,0,29.81,0.0,Mostly Cloudy
10:30 AM,88,79,75,NNE,7,0,29.81,0.0,Mostly Cloudy
11:00 AM,88,79,75,VAR,5,0,29.81,0.0,Mostly Cloudy
11:30 AM,90,79,70,NNE,6,0,29.81,0.0,Mostly Cloudy
12:00 PM,90,79,70,NE,6,0,29.81,0.0,Mostly Cloudy
12:30 PM,91,77,63,N,6,0,29.78,0.0,Mostly Cloudy
1:00 PM,91,77,63,VAR,6,0,29.78,0.0,Mostly Cloudy
1:30 PM,91,77,63,E,3,0,29.78,0.0,Mostly Cloudy
2:00 PM,91,79,66,VAR,6,0,29.75,0.0,Mostly Cloudy
2:30 PM,91,77,63,VAR,9,0,29.75,0.0,Mostly Cloudy
3:00 PM,91,79,66,SE,8,0,29.72,0.0,Mostly Cloudy
3:30 PM,86,77,74,ESE,16,0,29.75,0.0,Partly Cloudy
4:00 PM,73,73,100,NNE,8,0,29.72,0.0,Partly Cloudy
4:30 PM,79,75,89,VAR,2,0,29.72,0.0,Partly Cloudy
5:00 PM,81,77,89,WNW,3,0,29.72,0.0,Partly Cloudy
5:30 PM,82,77,84,NW,6,0,29.72,0.0,Partly Cloudy
6:00 PM,82,77,84,WNW,7,0,29.75,0.0,Partly Cloudy
6:30 PM,82,77,84,NW,5,0,29.75,0.0,Mostly Cloudy
7:00 PM,81,75,84,NW,6,0,29.75,0.0,Mostly Cloudy
7:30 PM,81,75,84,VAR,2,0,29.75,0.0,Mostly Cloudy
8:00 PM,81,77,89,VAR,1,0,29.75,0.0,Mostly Cloudy
8:30 PM,81,77,89,VAR,2,0,29.75,0.0,Mostly Cloudy
9:00 PM,81,77,89,VAR,2,0,29.78,0.0,Mostly Cloudy
9:30 PM,81,77,89,VAR,1,0,29.78,0.0,Mostly Cloudy
10:00 PM,81,77,89,VAR,1,0,29.78,0.0,Mostly Cloudy
10:30 PM,79,77,94,NNW,2,0,29.78,0.0,Mostly Cloudy
11:00 PM,81,77,89,VAR,2,0,29.81,0.0,Mostly Cloudy
11:30 PM,79,77,94,NNW,2,0,29.81,0.0,Mostly Cloudy
12:00 AM,81,77,89,NW,3,0,29.81,0.0,Mostly Cloudy
12:30 AM,81,77,89,NW,2,0,29.81,0.0,Mostly Cloudy
1:00 AM,81,79,94,N,3,0,29.81,0.0,Mostly Cloudy
1:30 AM,81,79,94,N,3,0,29.78,0.0,Mostly Cloudy
2:00 AM,81,79,94,VAR,2,0,29.78,0.0,Mostly Cloudy
2:30 AM,81,79,94,VAR,2,0,29.78,0.0,Mostly Cloudy
3:00 AM,81,79,94,VAR,2,0,29.78,0.0,Mostly Cloudy
3:30 AM,81,79,94,VAR,1,0,29.78,0.0,Mostly Cloudy
4:00 AM,81,79,94,W,2,0,29.78,0.0,Mostly Cloudy
4:30 AM,81,79,94,VAR,1,0,29.75,0.0,Mostly Cloudy
